"taxon"	"dataset"	"level"	"phase"	"val_min_gene_length"	"val_max_gene_length"	"val_mean_gene_length"	"val_num_samples"	"train_min_gene_length"	"train_max_gene_length"	"train_mean_gene_length"	"train_num_samples"	"min_gene_length"	"max_gene_length"	"mean_gene_length"	"num_samples"	"genus_confusion"	"species_confusion"
"Ceratomegilla"	"Coccinellidae"	"genus"	"train"	635	658	646.5	2	407	658	607.4	10	407	658	613.916666666667	12	0	NA
"Ceratomegilla_ulkei"	"Coccinellidae"	"species"	"train"	635	658	646.5	2	407	658	607.4	10	407	658	613.916666666667	12	NA	0
"Chalybs"	"Lycaenidae"	"genus"	"train"	307	658	570.25	4	514	658	643.846153846154	13	307	658	626.529411764706	17	0.25	NA
"Chalybs_hassan"	"Lycaenidae"	"species"	"train"	658	658	658	2	514	658	610	3	514	658	629.2	5	NA	0
"Chalybs_janias"	"Lycaenidae"	"species"	"train"	307	658	482.5	2	635	658	654	10	307	658	625.416666666667	12	NA	0.25
"Cheilomenes"	"Coccinellidae"	"genus"	"train"	579	591	585	2	471	658	620.904761904762	21	471	658	617.782608695652	23	0	NA
"Cheilomenes_sexmaculata"	"Coccinellidae"	"species"	"train"	579	591	585	2	471	658	620.904761904762	21	471	658	617.782608695652	23	NA	0
"Chilocorus"	"Coccinellidae"	"genus"	"train"	567	658	645.7	10	415	658	614.448979591837	49	415	658	619.745762711864	59	0	NA
"Chilocorus_bipustulatus"	"Coccinellidae"	"species"	"train"	658	658	658	2	553	658	638.272727272727	11	553	658	641.307692307692	13	NA	0
"Chilocorus_cacti"	"Coccinellidae"	"species"	"train"	650	650	650	2	452	658	589.8	5	452	658	607	7	NA	0
"Chilocorus_nigritus"	"Coccinellidae"	"species"	"train"	650	650	650	2	415	658	610	14	415	658	615	16	NA	0
"Chilocorus_renipustulatus"	"Coccinellidae"	"species"	"train"	658	658	658	2	605	658	639.125	8	605	658	642.9	10	NA	0
"Chilocorus_stigma"	"Coccinellidae"	"species"	"train"	567	658	612.5	2	453	658	589.545454545455	11	453	658	593.076923076923	13	NA	0
"Chlorostrymon"	"Lycaenidae"	"genus"	"train"	658	658	658	2	658	659	658.5	2	658	659	658.25	4	0	NA
"Chlorostrymon_simaethis"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	659	658.5	2	658	659	658.25	4	NA	0
"Chrysoritis"	"Lycaenidae"	"genus"	"train"	650	654	652	2	565	654	642.75	8	565	654	644.6	10	0	NA
"Chrysoritis_chrysaor"	"Lycaenidae"	"species"	"train"	650	654	652	2	565	654	642.75	8	565	654	644.6	10	NA	0
"Cicerbita"	"Asteraceae"	"genus"	"train"	519	542	530.5	4	542	553	545.666666666667	6	519	553	539.6	10	0	NA
"Cicerbita_alpina"	"Asteraceae"	"species"	"train"	519	542	530.5	4	542	553	545.666666666667	6	519	553	539.6	10	NA	0
"Cichorium"	"Asteraceae"	"genus"	"train"	549	553	551	4	464	552	529.777777777778	18	464	553	533.636363636364	22	0.5	NA
"Cichorium_intybus"	"Asteraceae"	"species"	"train"	549	553	551	4	464	552	529.777777777778	18	464	553	533.636363636364	22	NA	0.5
"Cigaritis"	"Lycaenidae"	"genus"	"train"	307	658	482.5	2	658	658	658	3	307	658	587.8	5	0.5	NA
"Cigaritis_mozambica"	"Lycaenidae"	"species"	"train"	307	658	482.5	2	658	658	658	3	307	658	587.8	5	NA	0.5
"Cinna"	"Poaceae"	"genus"	"train"	552	553	552.25	8	549	553	551.5	8	549	553	551.875	16	0.5	NA
"Cinna_arundinacea"	"Poaceae"	"species"	"train"	552	552	552	4	549	552	550.5	4	549	552	551.25	8	NA	0
"Cinna_latifolia"	"Poaceae"	"species"	"train"	552	553	552.5	4	552	553	552.5	4	552	553	552.5	8	NA	0.5
"Cirsium"	"Asteraceae"	"genus"	"train"	524	553	544.75	24	525	571	546.758620689655	58	524	571	546.170731707317	82	0.666666666666667	NA
"Cirsium_arvense"	"Asteraceae"	"species"	"train"	552	552	552	4	525	571	544.5	20	525	571	545.75	24	NA	0.0833333333333333
"Cirsium_heterophyllum"	"Asteraceae"	"species"	"train"	542	542	542	4	542	553	547.5	4	542	553	544.75	8	NA	0.166666666666667
"Cirsium_palustre"	"Asteraceae"	"species"	"train"	542	542	542	4	542	552	545.333333333333	6	542	552	544	10	NA	0.166666666666667
"Cirsium_pitcheri"	"Asteraceae"	"species"	"train"	552	552	552	4	552	552	552	8	552	552	552	12	NA	0
"Cirsium_tuberosum"	"Asteraceae"	"species"	"train"	524	542	533	4	542	542	542	4	524	542	537.5	8	NA	0.166666666666667
"Cirsium_vulgare"	"Asteraceae"	"species"	"train"	542	553	547.5	4	542	553	548.5	16	542	553	548.3	20	NA	0.0833333333333333
"Coccidula"	"Coccinellidae"	"genus"	"train"	650	658	656	4	553	658	650.129032258065	31	553	658	650.8	35	0	NA
"Coccidula_rufa"	"Coccinellidae"	"species"	"train"	658	658	658	2	553	658	652.473684210526	19	553	658	653	21	NA	0
"Coccidula_scutellata"	"Coccinellidae"	"species"	"train"	650	658	654	2	624	658	646.416666666667	12	624	658	647.5	14	NA	0
"Coccinella"	"Coccinellidae"	"genus"	"train"	546	658	627.928571428571	14	309	658	596.354066985646	209	309	658	598.336322869955	223	0	NA
"Coccinella_magnifica"	"Coccinellidae"	"species"	"train"	599	658	628.5	2	611	658	642.333333333333	3	599	658	636.8	5	NA	0
"Coccinella_quinquepunctata"	"Coccinellidae"	"species"	"train"	621	658	639.5	2	533	621	577	2	533	658	608.25	4	NA	0
"Coccinella_septempunctata"	"Coccinellidae"	"species"	"train"	546	658	602	2	513	658	596.280487804878	164	513	658	596.349397590361	166	NA	0
"Coccinella_transversalis"	"Coccinellidae"	"species"	"train"	618	658	638	2	309	658	574.833333333333	6	309	658	590.625	8	NA	0
"Coccinella_transversoguttata"	"Coccinellidae"	"species"	"train"	585	637	611	2	542	658	590.1	20	542	658	592	22	NA	0
"Coccinella_trifasciata"	"Coccinellidae"	"species"	"train"	579	658	618.5	2	407	658	595.571428571429	7	407	658	600.666666666667	9	NA	0
"Coccinella_undecimpunctata"	"Coccinellidae"	"species"	"train"	658	658	658	2	399	658	621	7	399	658	629.222222222222	9	NA	0
"Coccinula"	"Coccinellidae"	"genus"	"train"	658	658	658	2	471	658	644.034482758621	29	471	658	644.935483870968	31	0	NA
"Coccinula_quatuordecimpustulata"	"Coccinellidae"	"species"	"train"	658	658	658	2	471	658	644.034482758621	29	471	658	644.935483870968	31	NA	0
"Coelophora"	"Coccinellidae"	"genus"	"train"	658	658	658	2	333	658	591.944444444444	18	333	658	598.55	20	0	NA
"Coelophora_inaequalis"	"Coccinellidae"	"species"	"train"	658	658	658	2	333	658	591.944444444444	18	333	658	598.55	20	NA	0
"Coleomegilla"	"Coccinellidae"	"genus"	"train"	645	658	651.5	2	614	658	655.095238095238	21	614	658	654.782608695652	23	0	NA
"Coleomegilla_maculata"	"Coccinellidae"	"species"	"train"	645	658	651.5	2	614	658	655.095238095238	21	614	658	654.782608695652	23	NA	0
"Conyza"	"Asteraceae"	"genus"	"train"	534	552	543	4	552	552	552	6	534	552	548.4	10	1	NA
"Conyza_canadensis"	"Asteraceae"	"species"	"train"	534	552	543	4	552	552	552	6	534	552	548.4	10	NA	1
"Crepis"	"Asteraceae"	"genus"	"train"	542	552	548.666666666667	12	542	553	549.25	16	542	553	549	28	0.333333333333333	NA
"Crepis_capillaris"	"Asteraceae"	"species"	"train"	542	542	542	4	542	552	547	8	542	552	545.333333333333	12	NA	0
"Crepis_tectorum"	"Asteraceae"	"species"	"train"	552	552	552	4	549	553	551	4	549	553	551.5	8	NA	0.333333333333333
"Crepis_vesicaria"	"Asteraceae"	"species"	"train"	552	552	552	4	552	552	552	4	552	552	552	8	NA	0
"Crudaria"	"Lycaenidae"	"genus"	"train"	407	658	532.5	2	656	658	657	2	407	658	594.75	4	0	NA
"Crudaria_leroma"	"Lycaenidae"	"species"	"train"	407	658	532.5	2	656	658	657	2	407	658	594.75	4	NA	0
"Cupido"	"Lycaenidae"	"genus"	"train"	635	658	655.111111111111	18	407	658	651.558035714286	448	407	658	651.695278969957	466	0.222222222222222	NA
"Cupido_alcetas"	"Lycaenidae"	"species"	"train"	658	658	658	2	562	658	653.903846153846	52	562	658	654.055555555556	54	NA	0
"Cupido_amyntula"	"Lycaenidae"	"species"	"train"	658	658	658	2	550	658	639.179104477612	67	550	658	639.724637681159	69	NA	0
"Cupido_argiades"	"Lycaenidae"	"species"	"train"	658	658	658	2	617	658	656.583333333333	72	617	658	656.621621621622	74	NA	0
"Cupido_carswelli"	"Lycaenidae"	"species"	"train"	658	658	658	2	407	658	595.25	4	407	658	616.166666666667	6	NA	0.111111111111111
"Cupido_comyntas"	"Lycaenidae"	"species"	"train"	637	658	647.5	2	611	658	653.5	28	611	658	653.1	30	NA	0
"Cupido_decoloratus"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	6	658	658	658	8	NA	0.111111111111111
"Cupido_lorquinii"	"Lycaenidae"	"species"	"train"	650	658	654	2	623	658	651.181818181818	11	623	658	651.615384615385	13	NA	0
"Cupido_minimus"	"Lycaenidae"	"species"	"train"	658	658	658	2	565	658	653.641509433962	159	565	658	653.695652173913	161	NA	0
"Cupido_osiris"	"Lycaenidae"	"species"	"train"	635	658	646.5	2	557	658	654.632653061224	49	557	658	654.313725490196	51	NA	0
"Curetis"	"Lycaenidae"	"genus"	"train"	658	658	658	2	658	658	658	2	658	658	658	4	0.5	NA
"Curetis_bulis"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	2	658	658	658	4	NA	0.5
"Cyaniris"	"Lycaenidae"	"genus"	"train"	658	658	658	2	612	658	655.704347826087	115	612	658	655.74358974359	117	0	NA
"Cyaniris_semiargus"	"Lycaenidae"	"species"	"train"	658	658	658	2	612	658	655.704347826087	115	612	658	655.74358974359	117	NA	0
"Cyanophrys"	"Lycaenidae"	"genus"	"train"	658	658	658	4	658	658	658	7	658	658	658	11	0.25	NA
"Cyanophrys_fusius"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	4	658	658	658	6	NA	0.25
"Cyanophrys_herodotus"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	3	658	658	658	5	NA	0
"Cyclargus"	"Lycaenidae"	"genus"	"train"	658	658	658	4	656	658	657.928571428571	28	656	658	657.9375	32	0.5	NA
"Cyclargus_ammon"	"Lycaenidae"	"species"	"train"	658	658	658	2	656	658	657.666666666667	6	656	658	657.75	8	NA	0.5
"Cyclargus_thomasi"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	22	658	658	658	24	NA	0
"Cycloneda"	"Coccinellidae"	"genus"	"train"	579	650	621	6	477	650	598.083333333333	12	477	650	605.722222222222	18	0	NA
"Cycloneda_munda"	"Coccinellidae"	"species"	"train"	609	649	629	2	546	632	600.8	5	546	649	608.857142857143	7	NA	0
"Cycloneda_polita"	"Coccinellidae"	"species"	"train"	579	589	584	2	477	588	555.75	4	477	589	565.166666666667	6	NA	0
"Cycloneda_sanguinea"	"Coccinellidae"	"species"	"train"	650	650	650	2	650	650	650	3	650	650	650	5	NA	0
"Cynegetis"	"Coccinellidae"	"genus"	"train"	407	658	532.5	2	621	658	654.3	10	407	658	634	12	0	NA
"Cynegetis_impunctata"	"Coccinellidae"	"species"	"train"	407	658	532.5	2	621	658	654.3	10	407	658	634	12	NA	0
"Cynosurus"	"Poaceae"	"genus"	"train"	542	542	542	4	527	542	538.6	10	527	542	539.571428571429	14	0	NA
"Cynosurus_cristatus"	"Poaceae"	"species"	"train"	542	542	542	4	527	542	538.6	10	527	542	539.571428571429	14	NA	0
"Dactylis"	"Poaceae"	"genus"	"train"	549	549	549	4	524	553	547.529411764706	34	524	553	547.684210526316	38	0	NA
"Dactylis_glomerata"	"Poaceae"	"species"	"train"	549	549	549	4	524	553	547.529411764706	34	524	553	547.684210526316	38	NA	0
"Danis"	"Lycaenidae"	"genus"	"train"	658	658	658	2	628	658	648	3	628	658	652	5	0	NA
"Danis_danis"	"Lycaenidae"	"species"	"train"	658	658	658	2	628	658	648	3	628	658	652	5	NA	0
"Denivia"	"Lycaenidae"	"genus"	"train"	644	658	654.5	4	615	658	651.857142857143	7	615	658	652.818181818182	11	0	NA
"Denivia_hemon"	"Lycaenidae"	"species"	"train"	644	658	651	2	658	658	658	4	644	658	655.666666666667	6	NA	0
"Denivia_mavors"	"Lycaenidae"	"species"	"train"	658	658	658	2	615	658	643.666666666667	3	615	658	649.4	5	NA	0
"Deschampsia"	"Poaceae"	"genus"	"train"	552	552	552	8	525	553	549.771428571429	70	525	553	550	78	0.75	NA
"Deschampsia_brevifolia"	"Poaceae"	"species"	"train"	552	552	552	4	552	552	552	10	552	552	552	14	NA	0.5
"Deschampsia_cespitosa"	"Poaceae"	"species"	"train"	552	552	552	4	525	553	549.4	60	525	553	549.5625	64	NA	0.25
"Deudorix"	"Lycaenidae"	"genus"	"train"	658	658	658	6	627	658	656.176470588235	17	627	658	656.652173913043	23	0	NA
"Deudorix_diovis"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	3	658	658	658	5	NA	0
"Deudorix_epijarbas"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	8	658	658	658	10	NA	0
"Deudorix_epirus"	"Lycaenidae"	"species"	"train"	658	658	658	2	627	658	652.833333333333	6	627	658	654.125	8	NA	0
"Diarrhena"	"Poaceae"	"genus"	"train"	553	553	553	4	549	553	551	4	549	553	552	8	0	NA
"Diarrhena_obovata"	"Poaceae"	"species"	"train"	553	553	553	4	549	553	551	4	549	553	552	8	NA	0
"Didion"	"Coccinellidae"	"genus"	"train"	658	658	658	4	551	658	626.258064516129	31	551	658	629.885714285714	35	0	NA
"Didion_longulum"	"Coccinellidae"	"species"	"train"	658	658	658	2	580	658	633.625	8	580	658	638.5	10	NA	0
"Didion_punctatum"	"Coccinellidae"	"species"	"train"	658	658	658	2	551	658	623.695652173913	23	551	658	626.44	25	NA	0
"Diomus"	"Coccinellidae"	"genus"	"train"	579	658	618.5	2	588	658	634.666666666667	3	579	658	628.2	5	0	NA
"Diomus_terminatus"	"Coccinellidae"	"species"	"train"	579	658	618.5	2	588	658	634.666666666667	3	579	658	628.2	5	NA	0
"Dupontia"	"Poaceae"	"genus"	"train"	552	552	552	4	520	552	549.538461538462	26	520	552	549.866666666667	30	0	NA
"Dupontia_fisheri"	"Poaceae"	"species"	"train"	552	552	552	4	520	552	549.538461538462	26	520	552	549.866666666667	30	NA	0
"Echinargus"	"Lycaenidae"	"genus"	"train"	658	658	658	4	656	658	657.941176470588	34	656	658	657.947368421053	38	0	NA
"Echinargus_huntingtoni"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	4	658	658	658	6	NA	0
"Echinargus_isola"	"Lycaenidae"	"species"	"train"	658	658	658	2	656	658	657.933333333333	30	656	658	657.9375	32	NA	0
"Electrostrymon"	"Lycaenidae"	"genus"	"train"	658	658	658	2	658	658	658	2	658	658	658	4	0	NA
"Electrostrymon_angelia"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	2	658	658	658	4	NA	0
"Elymus"	"Poaceae"	"genus"	"train"	540	603	557.9	40	483	607	563.066666666667	150	483	607	561.978947368421	190	0.8	NA
"Elymus_alaskanus"	"Poaceae"	"species"	"train"	552	552	552	4	552	552	552	16	552	552	552	20	NA	0
"Elymus_canadensis"	"Poaceae"	"species"	"train"	552	553	552.5	4	549	603	564.25	8	549	603	560.333333333333	12	NA	0.05
"Elymus_caninus"	"Poaceae"	"species"	"train"	542	546	544	4	542	550	546	4	542	550	545	8	NA	0.1
"Elymus_elymoides"	"Poaceae"	"species"	"train"	552	603	577.5	4	549	603	585	6	549	603	582	10	NA	0.1
"Elymus_hystrix"	"Poaceae"	"species"	"train"	552	552	552	4	536	570	550.625	16	536	570	550.9	20	NA	0.1
"Elymus_lanceolatus"	"Poaceae"	"species"	"train"	552	552	552	4	512	603	574.8	10	512	603	568.285714285714	14	NA	0.1
"Elymus_macgregorii"	"Poaceae"	"species"	"train"	540	549	544.5	4	553	553	553	4	540	553	548.75	8	NA	0.1
"Elymus_repens"	"Poaceae"	"species"	"train"	546	552	549	4	542	607	566.25	48	542	607	564.923076923077	52	NA	0.1
"Elymus_trachycaulus"	"Poaceae"	"species"	"train"	552	603	577.5	4	483	603	572.428571428571	28	483	603	573.0625	32	NA	0.05
"Elymus_virginicus"	"Poaceae"	"species"	"train"	553	603	578	4	513	553	544.2	10	513	603	553.857142857143	14	NA	0.1
"Eremopyrum"	"Poaceae"	"genus"	"train"	552	552	552	4	565	568	565.75	16	552	568	563	20	1	NA
"Eremopyrum_orientale"	"Poaceae"	"species"	"train"	552	552	552	4	565	568	565.75	16	552	568	563	20	NA	1
"Ericameria"	"Asteraceae"	"genus"	"train"	524	552	538	4	552	553	552.5	4	524	553	545.25	8	1	NA
"Ericameria_nauseosa"	"Asteraceae"	"species"	"train"	524	552	538	4	552	553	552.5	4	524	553	545.25	8	NA	1
"Erigeron"	"Asteraceae"	"genus"	"train"	537	577	552.375	64	522	583	551.739130434783	138	522	583	551.940594059406	202	0.625	NA
"Erigeron_acris"	"Asteraceae"	"species"	"train"	552	577	564.5	4	542	579	559.125	16	542	579	560.2	20	NA	0.03125
"Erigeron_annuus"	"Asteraceae"	"species"	"train"	553	553	553	4	525	566	550.166666666667	12	525	566	550.875	16	NA	0.0625
"Erigeron_borealis"	"Asteraceae"	"species"	"train"	542	542	542	4	542	542	542	4	542	542	542	8	NA	0
"Erigeron_caespitosus"	"Asteraceae"	"species"	"train"	553	553	553	4	522	552	534	10	522	553	539.428571428571	14	NA	0.0625
"Erigeron_canadensis"	"Asteraceae"	"species"	"train"	553	563	558	4	553	583	562.2	10	553	583	561	14	NA	0
"Erigeron_compositus"	"Asteraceae"	"species"	"train"	552	552	552	4	552	552	552	8	552	552	552	12	NA	0.0625
"Erigeron_eriocephalus"	"Asteraceae"	"species"	"train"	552	552	552	4	552	552	552	10	552	552	552	14	NA	0.0625
"Erigeron_glacialis"	"Asteraceae"	"species"	"train"	537	552	544.5	4	552	552	552	6	537	552	549	10	NA	0.0625
"Erigeron_humilis"	"Asteraceae"	"species"	"train"	552	552	552	4	530	552	549.555555555556	18	530	552	550	22	NA	0
"Erigeron_leibergii"	"Asteraceae"	"species"	"train"	553	553	553	4	553	553	553	4	553	553	553	8	NA	0.0625
"Erigeron_philadelphicus"	"Asteraceae"	"species"	"train"	551	552	551.5	4	552	553	552.666666666667	6	551	553	552.2	10	NA	0
"Erigeron_poliospermus"	"Asteraceae"	"species"	"train"	553	553	553	4	552	553	552.5	4	552	553	552.75	8	NA	0.0625
"Erigeron_porsildii"	"Asteraceae"	"species"	"train"	552	553	552.5	4	552	553	552.666666666667	6	552	553	552.6	10	NA	0.03125
"Erigeron_purpuratus"	"Asteraceae"	"species"	"train"	552	553	552.5	4	552	553	552.5	8	552	553	552.5	12	NA	0.0625
"Erigeron_speciosus"	"Asteraceae"	"species"	"train"	552	552	552	4	552	552	552	4	552	552	552	8	NA	0.0625
"Erigeron_strigosus"	"Asteraceae"	"species"	"train"	552	553	552.5	4	552	557	553.333333333333	12	552	557	553.125	16	NA	0
"Erora"	"Lycaenidae"	"genus"	"train"	600	658	643.5	4	641	658	653.25	4	600	658	648.375	8	0	NA
"Erora_badeta"	"Lycaenidae"	"species"	"train"	658	658	658	2	641	658	649.5	2	641	658	653.75	4	NA	0
"Erora_quaderna"	"Lycaenidae"	"species"	"train"	600	658	629	2	656	658	657	2	600	658	643	4	NA	0
"Euchrysops"	"Lycaenidae"	"genus"	"train"	307	641	501	6	391	658	569.620689655172	29	307	658	557.857142857143	35	0	NA
"Euchrysops_cnejus"	"Lycaenidae"	"species"	"train"	307	633	470	2	393	658	611.190476190476	21	307	658	598.913043478261	23	NA	0
"Euchrysops_malathana"	"Lycaenidae"	"species"	"train"	440	641	540.5	2	391	645	478.5	4	391	645	499.166666666667	6	NA	0
"Euchrysops_osiris"	"Lycaenidae"	"species"	"train"	445	540	492.5	2	440	444	442.5	4	440	540	459.166666666667	6	NA	0
"Euliphyra"	"Lycaenidae"	"genus"	"train"	307	658	599.5	6	307	658	608.5	8	307	658	604.642857142857	14	0	NA
"Euliphyra_hewitsonioides"	"Lycaenidae"	"species"	"train"	307	658	482.5	2	307	658	482.5	2	307	658	482.5	4	NA	0
"Euliphyra_leucyania"	"Lycaenidae"	"species"	"train"	658	658	658	2	613	658	646.75	4	613	658	650.5	6	NA	0
"Euliphyra_mirabilis"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	2	658	658	658	4	NA	0
"Eumaeus"	"Lycaenidae"	"genus"	"train"	639	658	648.5	2	609	660	625.545454545455	11	609	660	629.076923076923	13	0	NA
"Eumaeus_godartii"	"Lycaenidae"	"species"	"train"	639	658	648.5	2	609	660	625.545454545455	11	609	660	629.076923076923	13	NA	0
"Eumedonia"	"Lycaenidae"	"genus"	"train"	658	658	658	2	561	658	654.18085106383	94	561	658	654.260416666667	96	0	NA
"Eumedonia_eumedon"	"Lycaenidae"	"species"	"train"	658	658	658	2	561	658	654.18085106383	94	561	658	654.260416666667	96	NA	0
"Euphilotes"	"Lycaenidae"	"genus"	"train"	632	658	656.818181818182	22	294	658	647.382352941176	272	294	658	648.08843537415	294	0.409090909090909	NA
"Euphilotes_ancilla"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	7	658	658	658	9	NA	0.0909090909090909
"Euphilotes_battoides"	"Lycaenidae"	"species"	"train"	658	658	658	2	294	658	643.886138613861	202	294	658	644.024509803922	204	NA	0.0454545454545455
"Euphilotes_baueri"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	2	658	658	658	4	NA	0.0909090909090909
"Euphilotes_bernardino"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	8	658	658	658	10	NA	0
"Euphilotes_centralis"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	3	658	658	658	5	NA	0
"Euphilotes_ellisii"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	2	658	658	658	4	NA	0
"Euphilotes_enoptes"	"Lycaenidae"	"species"	"train"	658	658	658	2	656	658	657.931034482759	29	656	658	657.935483870968	31	NA	0
"Euphilotes_mojave"	"Lycaenidae"	"species"	"train"	658	658	658	2	623	658	649.25	4	623	658	652.166666666667	6	NA	0.0909090909090909
"Euphilotes_pallescens"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	6	658	658	658	8	NA	0
"Euphilotes_rita"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	6	658	658	658	8	NA	0.0454545454545455
"Euphilotes_spaldingi"	"Lycaenidae"	"species"	"train"	632	658	645	2	658	658	658	3	632	658	652.8	5	NA	0.0454545454545455
"Eurybia"	"Asteraceae"	"genus"	"train"	523	553	541.25	8	552	553	552.444444444444	18	523	553	549	26	1	NA
"Eurybia_conspicua"	"Asteraceae"	"species"	"train"	523	552	537.5	4	552	552	552	4	523	552	544.75	8	NA	0.5
"Eurybia_macrophylla"	"Asteraceae"	"species"	"train"	537	553	545	4	552	553	552.571428571429	14	537	553	550.888888888889	18	NA	0.5
"Euthamia"	"Asteraceae"	"genus"	"train"	553	553	553	4	552	552	552	6	552	553	552.4	10	0	NA
"Euthamia_graminifolia"	"Asteraceae"	"species"	"train"	553	553	553	4	552	552	552	6	552	553	552.4	10	NA	0
"Exochomus"	"Coccinellidae"	"genus"	"train"	658	658	658	2	399	658	639.214285714286	28	399	658	640.466666666667	30	0	NA
"Exochomus_quadripustulatus"	"Coccinellidae"	"species"	"train"	658	658	658	2	399	658	639.214285714286	28	399	658	640.466666666667	30	NA	0
"Favonius"	"Lycaenidae"	"genus"	"train"	658	658	658	2	523	658	654.441441441441	111	523	658	654.504424778761	113	0	NA
"Favonius_quercus"	"Lycaenidae"	"species"	"train"	658	658	658	2	523	658	654.441441441441	111	523	658	654.504424778761	113	NA	0
"Festuca"	"Poaceae"	"genus"	"train"	536	552	548.285714285714	28	518	571	550.954545454545	132	518	571	550.4875	160	0.5	NA
"Festuca_baffinensis"	"Poaceae"	"species"	"train"	552	552	552	4	552	552	552	6	552	552	552	10	NA	0
"Festuca_brachyphylla"	"Poaceae"	"species"	"train"	536	552	544	4	550	552	551.9	40	536	552	551.181818181818	44	NA	0
"Festuca_lenensis"	"Poaceae"	"species"	"train"	552	552	552	4	552	552	552	8	552	552	552	12	NA	0.142857142857143
"Festuca_ovina"	"Poaceae"	"species"	"train"	542	542	542	4	542	552	547	4	542	552	544.5	8	NA	0.142857142857143
"Festuca_rubra"	"Poaceae"	"species"	"train"	552	552	552	4	518	571	550.111111111111	54	518	571	550.241379310345	58	NA	0
"Festuca_subverticillata"	"Poaceae"	"species"	"train"	552	552	552	4	553	571	556.8	10	552	571	555.428571428571	14	NA	0.0714285714285714
"Festuca_vivipara"	"Poaceae"	"species"	"train"	536	552	544	4	542	552	546	10	536	552	545.428571428571	14	NA	0.142857142857143
"Freyeria"	"Lycaenidae"	"genus"	"train"	658	658	658	2	597	658	630.647058823529	17	597	658	633.526315789474	19	0	NA
"Freyeria_trochylus"	"Lycaenidae"	"species"	"train"	658	658	658	2	597	658	630.647058823529	17	597	658	633.526315789474	19	NA	0
"Glaucopsyche"	"Lycaenidae"	"genus"	"train"	621	658	653.375	8	498	658	652.925	160	498	658	652.946428571429	168	0	NA
"Glaucopsyche_alexis"	"Lycaenidae"	"species"	"train"	658	658	658	2	498	658	653.955056179775	89	498	658	654.043956043956	91	NA	0
"Glaucopsyche_lygdamus"	"Lycaenidae"	"species"	"train"	621	658	639.5	2	572	658	649.660377358491	53	572	658	649.290909090909	55	NA	0
"Glaucopsyche_melanops"	"Lycaenidae"	"species"	"train"	658	658	658	2	653	658	657.230769230769	13	653	658	657.333333333333	15	NA	0
"Glaucopsyche_piasus"	"Lycaenidae"	"species"	"train"	658	658	658	2	658	658	658	5	658	658	658	7	NA	0
"Glyceria"	"Poaceae"	"genus"	"train"	536	603	561.375	32	515	607	568.54347826087	92	515	607	566.693548387097	124	0.375	NA
"Glyceria_canadensis"	"Poaceae"	"species"	"train"	600	603	601.5	4	515	603	556.25	8	515	603	571.333333333333	12	NA	0.125
"Glyceria_declinata"	"Poaceae"	"species"	"train"	542	542	542	4	542	542	542	4	542	542	542	8	NA	0
"Glyceria_elata"	"Poaceae"	"species"	"train"	549	603	576	4	549	603	589.5	8	549	603	585	12	NA	0
"Glyceria_grandis"	"Poaceae"	"species"	"train"	577	603	590	4	527	607	570.714285714286	14	527	607	575	18	NA	0
"Glyceria_maxima"	"Poaceae"	"species"	"train"	538	542	540	4	530	552	541	4	530	552	540.5	8	NA	0.0625
"Glyceria_notata"	"Poaceae"	"species"	"train"	536	542	539	4	524	546	537.333333333333	6	524	546	538	10	NA	0.125
"Glyceria_septentrionalis"	"Poaceae"	"species"	"train"	552	552	552	4	520	552	540.333333333333	6	520	552	545	10	NA	0.0625
"Glyceria_striata"	"Poaceae"	"species"	"train"	549	552	550.5	4	522	607	579.809523809524	42	522	607	577.260869565217	46	NA	0
"Grindelia"	"Asteraceae"	"genus"	"train"	552	552	552	4	552	553	552.25	8	552	553	552.166666666667	12	0	NA
"Grindelia_squarrosa"	"Asteraceae"	"species"	"train"	552	552	552	4	552	553	552.25	8	552	553	552.166666666667	12	NA	0
"Gymnanthemum"	"Asteraceae"	"genus"	"train"	483	542	512.5	4	518	611	544.615384615385	26	483	611	540.333333333333	30	0	NA
"Gymnanthemum_amygdalinum"	"Asteraceae"	"species"	"train"	483	542	512.5	4	518	611	544.615384615385	26	483	611	540.333333333333	30	NA	0
